         user_id,Book-Author,Book-Title,Image-URL-M
42,Joseph Adler,R in a Nutshell,"https://images-na.ssl-images-amazon.com/images/I/41oWgCGmgCL._SY344_BO1,204,203,200_.jpg"
43,John Chambers,Software for Data Analysis: Programming with R (Statistics and Computing),"https://images-na.ssl-images-amazon.com/images/I/31ogAjT9rkL._SX313_BO1,204,203,200_.jpg"
44,Nina Zumel,Practical Data Science with R,"https://images-na.ssl-images-amazon.com/images/I/41edNnUkpUL._SX258_BO1,204,203,200_.jpg"
45,Jon Duckett,HTML and CSS: Design and Build Websites,https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/HTML-and-CSS-Duckett-cover.jpg
46,Elisabeth Robson & Eric Freeman,Head First HTML and CSS: A Learnerís Guide to Creating Standards-Based Web Pages,https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/Head-first-HTML-and-CSS.jpg
47,Markus Zusak, A Smarter Way to Learn HTML & CSS: Learn it faster. Remember it longer,https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/a-smarter-way-to-learn-HTML-and-CSS-1.jpg
48,Young Rewired State,"Get Coding!: Learn HTML, CSS & JavaScript & Build a Website, App & Game",https://iotvnaw69daj.i.optimole.com/cb:n2y9~6666f/w:710/h:1063/q:mauto/dpr:1.3/f:avif/https://www.codeinwp.com/wp-content/uploads/2021/04/Get-coding.jpg
49,Jennifer Robins," Learning Web Design: A Beginnerís Guide to HTML, CSS, JavaScript, and Web Graphics",https://images.gr-assets.com/books/1361039440s/49041.jpg
50,Shel Silverstein,Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448s/30119.jpg
51,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315s/256683.jpg
52,Stephenie Meyer,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355s/428263.jpg
53,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852s/113436.jpg
54,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754s/11.jpg
55,Aldous Huxley,Brave New World,https://images.gr-assets.com/books/1487389574s/5129.jpg
56,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438s/1162543.jpg
57,Sue Monk Kidd,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532s/37435.jpg
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850s/2956.jpg
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,https://images.gr-assets.com/books/1439632243s/24178.jpg
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624s/1618.jpg
61,Paula Hawkins,The Girl on the Train,https://images.gr-assets.com/books/1490903702s/22557272.jpg
62,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747s/119322.jpg
63,"Emily Bront√´, Richard J. Dunn",Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64,Jodi Picoult,My Sister's Keeper,https://images.gr-assets.com/books/1369504683s/10917.jpg
65,Kurt Vonnegut Jr.,Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389s/4981.jpg
66,Margaret Mitchell,Gone with the Wind,https://images.gr-assets.com/books/1328025229s/18405.jpg
67,Khaled Hosseini,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969s/128029.jpg
68,Stephen Chbosky,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178s/22628.jpg
69,Veronica Roth,"Insurgent (Divergent, #2)",https://images.gr-assets.com/books/1325667729s/11735983.jpg
70,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",https://images.gr-assets.com/books/1408303130s/375802.jpg
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,https://images.gr-assets.com/books/1381512375s/18490.jpg
