,title,rating,author,genre
0,Learn Python 3 the Hard Way,24,Zed A. Shaw,Python
6,Deep Learning with Python and OpenCV,12,Viral Thakar,Python
12,Head-First Python 2nd edition,12,Paul Barry,Python
18,"Optimizing Visual Studio Code for Python Development
Developing More Efficient and Effective Programs in Python",12,Sufyan bin Uzayr,Python
24,Python Tricks,12,Dan Bader,Python
