,title,rating,author,genre
0,"Aerial Photography, Photogeology, GIS, And Image Processing",12,Saiful-Islam Saif,Image processing
6,Medical Imaging Systems,12,Andreas Maier,Image processing
12,Optical and SAR Remote Sensing of Urban Areas,12,Courage Kamusoko,Image processing
18,Digital Image Processing MCQs,6,Arshad Iqbal,Image processing
24,Handbook of Image Processing Operators,6,Reinhard Klette,Image processing
30,Introductory Digital Image Processing,6,John Jensen,Image processing
36,"Lessons from the Masters
Current Concepts in Astronomical Image Processing",6,Robert Gendler,Image processing
42,Numerical Computing with MATLAB,6,Cleve B. Moler,Image processing
48,OpenCV 2 Computer Vision Application Programming Cookbook,6,Robert Laganire,Image processing
